idx,rel_path,size_mb,pages,sha256,duplicate_of,text_chars,thai_chars,status,text_file,error
67,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1)_part4.pdf,7.328,41,221117ad6e85654c67691095cb90fb3b3c7c26181937b9f104aa36e950cb3329,,0,0,image_only,,
68,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3.pdf,53.822,305,db65f6ac621df004baaa773647b38b9efb8e1e1de295615f97c3273b3fc33f96,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1).pdf,0,0,duplicate_image_only,,
69,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3_part1.pdf,16.911,102,840a38e973b8909fd4c5325ec38af5e3a01f8efa136c023af29a0569ecac6148,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1)_part1.pdf,0,0,duplicate_image_only,,
70,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3_part2.pdf,18.752,102,2d3b9f7876fe2fc9eff166c39708d333cb78cc21637c77ea5489fda5b8365825,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1)_part2.pdf,0,0,duplicate_image_only,,
71,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3_part3.pdf,18.157,101,ac0508afd1076909633ee0a8b858475da13fb56fc1bdff3edfc147e81c1045fa,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3 (1)_part3.pdf,0,0,duplicate_image_only,,
72,กลุ่มDaf RP3\พี่Nc แจกของครั้งใหญ่3_part4.pdf,7.328,41,c62fed44e5bc0124ffead72b13134b91fab28b17da055ab63956140f97a34f37,,0,0,image_only,,
73,กลุ่มDaf RP3\แจกของครั้งใหญ่1.pdf,5.19,31,90a9d2a29bde384ab83e7c490e29b507e0ad3e2f404ad764c67088c9525327ba,,0,0,image_only,,
74,กลุ่มDaf RP3\𝚂𝚎𝚝𝚛𝚌𝚝𝚞𝚛𝚎_𝙰𝚕𝚌𝚑𝚎𝚖𝚒𝚜𝚝_𝙷𝚝𝚏_𝙺𝚎𝚢⚤︎.pdf,4.613,5,19e8e0fb20498935a98abb1d582d1a5cf96d08c79aee37c06fb1996fe3321915,,0,0,image_only,,
75,วิชาอออิน4S upgrade .pdf,16.545,180,c87531da3f878fcd8a41efa583d2e56dcec4da3b93c28aecb130191dfed2287f,,4326,378,text_extracted,tmp\allin4s_pdf_audit\text\075_วิชาอออิน4S_upgrade_.pdf.txt,
76,วิชาแท่งเทียนสำนักALL IN 4S.pdf,19.599,189,90f7702695f62251a53203faf079ac47a913715c0c161dd3e4df63948458e928,,0,0,image_only,,
77,วิชาแท่งเทียนสำนักALL IN 4S_part1.pdf,15.073,150,d3a533ac8e56f9feb2491d7362a38cbc2cd77f9cefc7b7f06fb94bb0e0bd7494,,0,0,image_only,,
78,วิชาแท่งเทียนสำนักALL IN 4S_part2.pdf,4.475,39,ebc8423454830d955fd47f32bd61d3b1db40b6dddbce630c36cc1244dfc1c37d,,0,0,image_only,,
79,เทคนิคการเทรดพี่นาย\2 ตัวเลือกให้คุณเลือกว่าคุณอยากเล่นสไตล์ไหนแล้วควรเรียนอะไรบ้าง.pdf,0.658,4,db821ba01afa6b3724d3c61833a75be1a46d035baafd70ebccb3b11bdd195b5b,,0,0,image_only,,
