portfolio,leg,label,ticket,signal,entry_ts,sl,tp,close_time,close_price,status,profit_usd
P16,K,S44 VolProfile,555464174,BUY,2026-07-02T18:22:23.989998+07:00,4056.83,4078.58,2026-07-02T20:30:02+07:00,4078.58,TP,15.0
P13,D,S37 S/R Pivot,555465842,BUY,2026-07-02T18:27:23.754491+07:00,4058.88,4072.06,2026-07-02T19:45:40+07:00,4072.06,TP,6.5
P13,K,S44 VolProfile,555465843,BUY,2026-07-02T18:27:23.754491+07:00,4056.95,4074.95,2026-07-02T20:30:02+07:00,4074.95,TP,9.39
P16,D,S37 S/R Pivot,555465846,BUY,2026-07-02T18:27:24.009254+07:00,4058.88,4072.06,2026-07-02T19:45:40+07:00,4072.06,TP,6.47
P16,K,S44 VolProfile,555465847,BUY,2026-07-02T18:27:24.009254+07:00,4056.95,4074.95,2026-07-02T20:30:02+07:00,4074.95,TP,9.36
P13,D,S37 S/R Pivot,555467028,BUY,2026-07-02T18:32:23.758668+07:00,4059.76,4074.31,2026-07-02T20:30:02+07:00,4074.31,TP,8.49
P13,K,S44 VolProfile,555467030,BUY,2026-07-02T18:32:23.758668+07:00,4057.8,4077.25,2026-07-02T20:30:02+07:00,4077.25,TP,11.43
P16,D,S37 S/R Pivot,555467033,BUY,2026-07-02T18:32:23.998298+07:00,4059.76,4074.31,2026-07-02T20:30:02+07:00,4074.31,TP,8.47
P16,K,S44 VolProfile,555467035,BUY,2026-07-02T18:32:23.998298+07:00,4057.8,4077.25,2026-07-02T20:30:02+07:00,4077.25,TP,11.41
P13,D,S37 S/R Pivot,555467857,BUY,2026-07-02T18:35:56.620068+07:00,4060.84,4071.72,2026-07-02T19:45:32+07:00,4071.72,TP,8.06
P16,D,S37 S/R Pivot,555467858,BUY,2026-07-02T18:35:56.745154+07:00,4060.84,4071.72,2026-07-02T19:45:32+07:00,4071.72,TP,8.03
P13,D,S37 S/R Pivot,555469697,BUY,2026-07-02T18:40:55.661957+07:00,4060.3,4076.65,2026-07-02T20:30:02+07:00,4076.65,TP,10.8
P13,K,S44 VolProfile,555469698,BUY,2026-07-02T18:40:55.661957+07:00,4057.9,4080.25,2026-07-02T20:30:03+07:00,4080.25,TP,14.38
P16,D,S37 S/R Pivot,555469700,BUY,2026-07-02T18:40:55.871020+07:00,4060.3,4076.65,2026-07-02T20:30:02+07:00,4076.65,TP,10.78
P16,K,S44 VolProfile,555469701,BUY,2026-07-02T18:40:55.871020+07:00,4057.9,4080.25,2026-07-02T20:30:03+07:00,4080.25,TP,14.38
P13,D,S37 S/R Pivot,555473238,BUY,2026-07-02T18:45:55.650279+07:00,4061.84,4085.11,2026-07-02T20:14:20+07:00,4061.84,SL,-9.6
P13,K,S44 VolProfile,555473239,BUY,2026-07-02T18:45:55.650279+07:00,4060.33,4087.38,2026-07-02T20:30:07+07:00,4087.38,TP,15.94
P16,D,S37 S/R Pivot,555473242,BUY,2026-07-02T18:45:55.796023+07:00,4061.84,4085.11,2026-07-02T20:14:20+07:00,4061.84,SL,-9.63
P16,K,S44 VolProfile,555473243,BUY,2026-07-02T18:45:55.796023+07:00,4060.33,4087.38,2026-07-02T20:30:07+07:00,4087.38,TP,15.89
P13,F,S39 Demand/Supply,555483192,BUY,2026-07-02T19:01:14.764222+07:00,4059.66,4073.66,2026-07-02T20:30:01+07:00,4073.66,TP,10.1
P16,F,S39 Demand/Supply,555483193,BUY,2026-07-02T19:01:14.849820+07:00,4059.66,4073.66,2026-07-02T20:30:01+07:00,4073.66,TP,10.09
P13,F,S39 Demand/Supply,555487793,BUY,2026-07-02T19:06:14.750488+07:00,4059.66,4077.44,2026-07-02T20:30:02+07:00,4077.44,TP,7.19
P16,F,S39 Demand/Supply,555487797,BUY,2026-07-02T19:06:14.824736+07:00,4059.66,4077.44,2026-07-02T20:30:02+07:00,4077.44,TP,7.08
P13,F,S39 Demand/Supply,555495229,BUY,2026-07-02T19:16:14.753605+07:00,4059.19,4071.69,2026-07-02T20:30:01+07:00,4071.69,TP,8.97
P16,F,S39 Demand/Supply,555495230,BUY,2026-07-02T19:16:14.832437+07:00,4059.19,4071.69,2026-07-02T20:30:01+07:00,4071.69,TP,8.97
P16,E,S38 Fibonacci OTE,555499270,BUY,2026-07-02T19:21:14.781833+07:00,4052.89,4070.91,2026-07-02T20:30:01+07:00,4070.91,TP,2.68
P13,B,S34 VolBreak,555535576,BUY,2026-07-02T19:41:14.758963+07:00,4119.89,4154.65,2026-07-02T20:54:46+07:00,4119.89,SL,-16.17
P16,B,S34 VolBreak,555535577,BUY,2026-07-02T19:41:14.837864+07:00,4119.89,4154.65,2026-07-02T20:54:46+07:00,4119.89,SL,-16.13
