Time (BKK),Close Time,TF,Type,Entry,SL,TP,P&L,Reason
2026-06-30 22:24:00,2026-06-30 23:17:00,M1,BUY,4059.30,4028.64,4104.55,-30.67,SL
2026-06-30 22:25:00,2026-06-30 23:17:00,M1,BUY,4062.95,4028.63,4113.68,-34.33,SL
2026-06-30 22:29:00,2026-06-30 23:17:00,M1,BUY,4058.64,4028.70,4102.80,-29.95,SL
2026-06-30 22:40:00,2026-06-30 23:17:00,M1,BUY,4049.67,4028.78,4080.25,-20.89,SL
2026-06-30 22:41:00,2026-06-30 23:17:00,M1,BUY,4049.98,4028.77,4081.04,-21.22,SL
2026-06-30 22:42:00,2026-06-30 23:17:00,M1,BUY,4050.57,4028.78,4082.50,-21.79,SL
2026-06-30 22:43:00,2026-06-30 23:17:00,M1,BUY,4050.67,4028.80,4082.73,-21.87,SL
2026-06-30 22:44:00,2026-06-30 23:17:00,M1,BUY,4052.04,4028.83,4086.11,-23.22,SL
2026-06-30 23:31:00,2026-06-30 23:45:00,M1,SELL,4027.27,4033.58,4018.55,-18.94,SL
2026-06-30 23:37:00,2026-06-30 23:45:00,M1,SELL,4027.99,4033.54,4020.42,-16.67,SL
2026-06-30 23:49:00,2026-07-01 00:00:00,M1,BUY,4033.35,4028.11,4040.46,-15.74,SL
2026-06-30 23:50:00,2026-07-01 00:00:00,M1,BUY,4033.96,4028.12,4041.97,-17.54,SL
2026-06-30 23:53:00,2026-07-01 00:00:00,M1,BUY,4033.06,4028.14,4039.69,-19.70,SL
2026-06-30 23:55:00,2026-07-01 00:00:00,M1,BUY,4034.34,4028.16,4042.86,-18.56,SL
2026-06-30 23:56:00,2026-07-01 00:00:00,M1,BUY,4034.54,4028.17,4043.35,-19.12,SL
2026-07-01 00:45:00,2026-07-01 00:57:00,M1,BUY,4031.74,4028.06,4036.50,-14.74,SL
2026-07-01 00:49:00,2026-07-01 00:57:00,M1,BUY,4032.62,4028.07,4038.69,-13.67,SL
2026-07-01 00:53:00,2026-07-01 00:57:00,M1,BUY,4031.40,4028.09,4035.61,-16.57,SL
2026-07-01 00:55:00,2026-07-01 00:57:00,M1,BUY,4031.81,4028.10,4036.63,-14.86,SL
2026-07-01 01:45:00,2026-07-01 03:06:00,M1,BUY,4029.79,4025.95,4034.80,-15.38,SL
2026-07-01 01:46:00,2026-07-01 03:06:00,M1,BUY,4030.14,4025.95,4035.67,-12.59,SL
2026-07-01 01:47:00,2026-07-01 03:06:00,M1,BUY,4030.57,4025.96,4036.74,-13.85,SL
2026-07-01 01:49:00,2026-07-01 03:06:00,M1,BUY,4030.36,4025.97,4036.20,-13.19,SL
2026-07-01 01:51:00,2026-07-01 03:06:00,M1,BUY,4030.89,4025.98,4037.51,-14.75,SL
2026-07-01 01:52:00,2026-07-01 03:06:00,M1,BUY,4032.12,4025.97,4040.59,-12.31,SL
2026-07-01 02:00:00,2026-07-01 03:06:00,M1,BUY,4031.10,4026.03,4037.95,-15.23,SL
2026-07-01 02:01:00,2026-07-01 03:06:00,M1,BUY,4031.64,4026.03,4039.30,-11.23,SL
2026-07-01 02:02:00,2026-07-01 03:06:00,M1,BUY,4032.20,4026.03,4040.70,-12.35,SL
2026-07-01 02:03:00,2026-07-01 03:06:00,M1,BUY,4032.27,4026.03,4040.88,-12.49,SL
2026-07-01 02:06:00,2026-07-01 03:06:00,M1,BUY,4033.44,4026.02,4043.82,-14.85,SL
2026-07-01 02:09:00,2026-07-01 03:06:00,M1,BUY,4032.96,4026.03,4042.61,-13.87,SL
2026-07-01 02:10:00,2026-07-01 03:06:00,M1,BUY,4033.18,4026.03,4043.15,-14.31,SL
