Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
10-09-2026 17:31:42,10-09-2026 17:36:50,M15-LTS_AUS2_643,M15,BUY,4391.61,4379.31,0.05,-61.47,SL
10-09-2026 17:11:34,10-09-2026 17:52:42,M15-LTS_AUS2_643,M15,BUY,4393.26,4376.2,0.05,-85.31,SL
10-09-2026 16:26:34,10-09-2026 18:56:51,M15-LTS_AUS2_643,M15,BUY,4392.97,4374.85,0.05,-90.63,SL
09-09-2026 14:48:02,10-09-2026 19:00:51,M15-LTS_AUS2_645,M15,SELL,4411.34,4372.39,0.07,272.67,TP
09-09-2026 14:38:02,10-09-2026 19:05:32,M15-LTS_AUS2_645,M15,SELL,4408.64,4370.37,0.07,267.85,TP
09-09-2026 15:13:38,10-09-2026 19:17:13,M15-LTS_AUS2_644,M15,BUY,4405.76,4367.95,0.06,-226.9,SL
10-09-2026 16:01:36,10-09-2026 19:17:13,M30-LTS_AUS2_61,M30,SELL,4393.73,4368.12,0.01,25.61,TP
10-09-2026 16:01:39,10-09-2026 19:17:13,M30-LTS_AUS2_153,M30,SELL,4393.62,4368.12,0.5,1275.15,TP
10-09-2026 16:01:38,10-09-2026 19:17:13,M30-LTS_AUS2_99,M30,SELL,4393.78,4368.12,0.14,359.17,TP
10-09-2026 16:01:35,10-09-2026 19:17:13,M30-LTS_AUS2_20,M30,SELL,4393.77,4368.12,0.5,1282.7,TP
09-09-2026 14:23:03,10-09-2026 19:17:13,M15-LTS_AUS2_645,M15,SELL,4407.06,4367.95,0.07,273.77,TP
10-09-2026 17:31:43,10-09-2026 19:26:08,M15-LTS_AUS2_645,M15,BUY,4391.8,4363.67,0.07,-196.87,SL
09-09-2026 16:13:36,10-09-2026 19:30:36,M15-LTS_AUS2_644,M15,BUY,4398.6,4360.77,0.06,-226.94,SL
09-09-2026 15:48:36,10-09-2026 19:30:36,M15-LTS_AUS2_645,M15,SELL,4401.75,4360.77,0.07,286.84,TP
09-09-2026 16:03:36,10-09-2026 19:30:38,M15-LTS_AUS2_645,M15,SELL,4401.6,4360.5,0.07,287.71,TP
10-09-2026 16:31:51,10-09-2026 19:31:10,M15-LTS_AUS2_645,M15,BUY,4390.83,4356.96,0.07,-237.11,SL
10-09-2026 17:11:36,10-09-2026 19:31:10,H1-LTS_AUS2_653,H1,BUY,4393.24,4356.56,0.01,-36.68,SL
10-09-2026 16:46:34,10-09-2026 19:31:10,M15-LTS_AUS2_644,M15,SELL,4394.54,4356.96,0.06,225.5,TP
10-09-2026 17:01:35,10-09-2026 19:31:10,H1-LTS_AUS2_652,H1,SELL,4394.11,4356.56,0.06,225.31,TP
10-09-2026 16:16:34,10-09-2026 19:31:10,M15-LTS_AUS2_644,M15,SELL,4396.45,4356.59,0.06,239.12,TP
09-09-2026 18:03:36,10-09-2026 19:31:42,M15-LTS_AUS2_645,M15,SELL,4402.35,4353.13,0.07,344.53,TP
10-09-2026 17:45:05,10-09-2026 19:34:32,M15-LTS_AUS2_645,M15,BUY,4383.29,4343.67,0.07,-277.32,SL
10-09-2026 15:51:34,10-09-2026 19:34:37,M15-LTS_AUS2_644,M15,SELL,4397.87,4342.05,0.06,334.92,TP
07-09-2026 10:07:48,10-09-2026 19:38:01,M15-LTS_AUS2_645,M15,BUY,4406.84,4331.06,0.07,-530.48,SL
07-09-2026 10:27:49,10-09-2026 19:38:01,M15-LTS_AUS2_644,M15,SELL,4409.48,4331.06,0.06,470.54,TP
10-09-2026 16:01:45,10-09-2026 19:39:13,H1-LTS_AUS2_653,H1,BUY,4394.35,4326.33,0.01,-68.02,SL
10-09-2026 16:16:35,10-09-2026 19:39:13,H1-LTS_AUS2_652,H1,SELL,4396.48,4326.33,0.06,420.92,TP
10-09-2026 23:10:05,11-09-2026 06:52:18,M15-LTS_AUS2_643,M15,BUY,4359.07,4313.46,0.05,-228.06,SL
11-09-2026 08:15:05,11-09-2026 08:16:12,M15-LTS_AUS2_1,M15,BUY,4333.17,4335.41,0.11,24.66,TP
11-09-2026 08:15:07,11-09-2026 08:16:12,M15-LTS_AUS2_195,M15,BUY,4332.12,4335.41,0.5,164.25,TP
11-09-2026 09:33:58,11-09-2026 09:33:59,M15-LTS_AUS2_211,M15,SELL,4319.16,4319.22,0.5,-2.8,SL
11-09-2026 09:33:58,11-09-2026 09:33:59,M15-LTS_AUS2_174,M15,SELL,4319.03,4319.09,0.5,-3.25,SL
11-09-2026 09:33:56,11-09-2026 09:33:59,M15-LTS_AUS2_127,M15,SELL,4318.9,4319.0,0.5,-5.1,SL
09-09-2026 00:23:21,11-09-2026 10:22:30,H1-LTS_AUS2_653,H1,BUY,4393.68,4306.52,0.01,-87.16,SL
