Time (BKK),Close Time,Leg,TF,Type,Entry,SL,TP,Lot,P&L,Balance,Outcome
-,-,S111,M5,SELL,2454.67,2456.17,2451.79,0.01,2.68,1949.33,TP
-,-,S111,M5,SELL,2459.06,2460.56,2457.23,0.01,1.63,1950.96,TP
-,-,S111,M5,BUY,2500.47,2498.97,2503.01,0.01,-1.7,1949.26,SL
-,-,S111,M5,BUY,2499.07,2497.57,2501.67,0.01,2.4,1951.66,TP
-,-,S111,M5,BUY,2499.07,2497.57,2501.67,0.01,2.4,1954.06,TP
-,-,S111,M5,BUY,2499.07,2497.57,2501.67,0.01,2.4,1956.46,TP
-,-,S111,M5,BUY,2500.14,2498.64,2502.28,0.01,1.94,1958.4,TP
-,-,S111,M5,BUY,2500.14,2498.64,2502.28,0.01,1.94,1960.34,TP
-,-,S111,M5,SELL,2492.7,2494.2,2489.34,0.01,-1.7,1958.64,SL
-,-,S111,M5,BUY,2516.93,2515.43,2518.62,0.01,-1.7,1956.94,SL
-,-,S111,M5,BUY,2516.93,2515.43,2518.62,0.01,-1.7,1955.24,SL
-,-,S111,M5,BUY,2506.63,2505.13,2508.49,0.01,1.66,1956.9,TP
-,-,S111,M5,SELL,2517.48,2518.98,2512.47,0.01,-1.7,1955.2,SL
-,-,S111,M5,BUY,2568.81,2567.09,2582.97,0.01,-1.92,1953.28,SL
-,-,S111,M5,SELL,2575.94,2577.44,2571.63,0.01,-1.7,1951.58,SL
-,-,S111,M5,SELL,2575.94,2577.44,2571.63,0.01,-1.7,1949.88,SL
-,-,S111,M5,SELL,2575.94,2577.44,2571.63,0.01,-1.7,1948.18,SL
-,-,S111,M5,SELL,2575.94,2577.44,2571.63,0.01,-1.7,1946.48,SL
-,-,S111,M5,BUY,2616.03,2614.53,2618.22,0.01,-1.7,1944.78,SL
-,-,S111,M5,BUY,2616.03,2614.53,2618.22,0.01,-1.7,1943.08,SL
-,-,S111,M5,BUY,2654.7,2653.2,2658.16,0.01,-1.7,1941.38,SL
-,-,S111,M5,SELL,2637.5,2639.0,2635.35,0.01,-1.7,1939.68,SL
-,-,S111,M5,SELL,2637.5,2639.0,2635.35,0.01,-1.7,1937.98,SL
-,-,S111,M5,BUY,2654.59,2653.09,2658.06,0.01,3.27,1941.25,TP
-,-,S111,M5,BUY,2654.59,2653.09,2658.06,0.01,3.27,1944.52,TP
-,-,S111,M5,BUY,2654.59,2653.09,2658.06,0.01,3.27,1947.79,TP
-,-,S111,M5,SELL,2649.69,2651.19,2646.63,0.01,-1.7,1946.09,SL
-,-,S111,M5,SELL,2649.69,2651.19,2646.63,0.01,-1.7,1944.39,SL
-,-,S111,M5,SELL,2656.73,2658.23,2652.5,0.01,-1.7,1942.69,SL
-,-,S111,M5,SELL,2656.32,2657.82,2651.12,0.01,-1.7,1940.99,SL
