target_af,window_days,component_no,component_type,component_name,weight,raw_trades,derived_window,pnl,pnl_per_day
AF34,120,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,16,no,6685.7733,55.714777
AF34,120,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,16,no,4048.62108,33.738509
AF34,120,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,19,no,4286.5394,35.721162
AF34,120,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,14,no,3589.81336,29.915111
AF34,120,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,13,no,3646.28388,30.385699
AF34,120,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,10,no,3519.9588,29.33299
AF34,120,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,9,no,1100.39634,9.16997
AF34,120,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,19,no,3799.3499,31.661249
AF34,120,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,9,no,2327.9967,19.399973
AF34,120,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,11,no,1683.73258,14.031105
AF34,120,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,9,no,1863.06942,15.525578
AF34,120,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,26,no,1367.00975,11.391748
AF34,120,13,overlay,AMBFIX_DIR_S84_RD0.8_1.3_H18,414.033,1,no,1424.27352,11.868946
AF34,120,14,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H18,138.139,10,no,1020.84721,8.50706
AF34,120,15,overlay,AMBFIX_INV_S84_RD4.0_5.0_H15,156.917,9,no,695.14231,5.792853
AF34,120,16,overlay,AMBFIX_INV_S84_RD2.0_2.7_H9,158.086,13,no,3310.32084,27.586007
AF34,120,17,overlay,AMBFIX_INV_S84_RD5.0_7.0_H8,86.29,19,no,150.1446,1.251205
AF34,120,18,overlay,AMBFIX_DIR_S84_RD4.0_5.0_H14,85.289,14,no,1355.24221,11.293685
AF34,120,19,overlay,AMBFIX_INV_S84_RD3.4_4.0_H10,46.265,6,no,-4.6265,-0.038554
AF34,120,20,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H17,584.897,4,no,10036.83252,83.640271
AF34,120,21,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H10,344.492,3,no,2807.6098,23.396748
AF34,120,22,overlay,AMBFIX_DIR_S84c6017_RD5.0_7.0_H14,244.089,2,no,3068.19873,25.568323
AF34,120,23,overlay,AMBFIX_INV_S84c6017_RD5.0_7.0_H16,344.837,3,no,1162.10069,9.684172
AF34,120,24,overlay,AMBFIX_DIR_S84c6017_ALL_H12,23.911,34,no,1198.18021,9.984835
AF34,120,25,overlay,AMBFIX_INV_S84c5505_RD5.0_7.0_H11,121.543,6,no,1003.94518,8.36621
AF34,120,26,overlay,AMBFIX_DIR_S84c5505_RD5.0_7.0_H14,114.571,1,no,713.77733,5.948144
AF34,120,27,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H11,415.734,4,no,9811.3224,81.76102
AF34,120,28,overlay,AMBFIX_INV_S84c4369_RD5.0_7.0_H22,222.978,2,no,2626.68084,21.889007
AF34,120,29,overlay,AMBFIX_DIR_S84c3057_RD4.0_5.0_H19,733.281,8,no,16366.83192,136.390266
AF34,120,30,overlay,AMBFIX_INV_S84c3057_RD2.7_3.4_H13,525.853,2,no,6415.4066,53.461722
AF34,120,31,overlay,AMBFIX_INV_S84c3057_RD3.4_4.0_H11,321.025,4,no,4545.714,37.88095
AF34,120,32,overlay,AMBFIX_DIR_S84c889_RD2.7_3.4_H9,491.628,6,no,8957.46216,74.645518
AF34,120,33,overlay,AMBFIX_DIR_S84c889_RD3.4_4.0_H13,437.129,4,no,3505.77458,29.214788
AF34,120,34,overlay,AMBFIX_INV_S84c889_RD2.7_3.4_H13,273.83,2,no,3340.726,27.839383
AF34,150,0,base,S88,,,no,69673.37536,464.489169
AF34,150,1,overlay,AMBFIX_INV_S84_M15_OLDWICK_FOLLOW_RD4.0_5.0_H17,172.759,19,no,6602.84898,44.018993
AF34,150,2,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H10,196.726,19,no,4855.19768,32.367985
AF34,150,3,overlay,AMBFIX_DIR_S84_RD2.7_3.4_H12,123.035,20,no,5204.3805,34.69587
AF34,150,4,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H17,92.141,15,no,4033.01157,26.886744
AF34,150,5,overlay,AMBFIX_INV_S84_RD3.4_4.0_H11,325.852,13,no,3646.28388,24.308559
AF34,150,6,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H14,222.36,10,no,3519.9588,23.466392
AF34,150,7,overlay,AMBFIX_INV_S84_RD4.0_5.0_H22,258.309,11,no,3469.08987,23.127266
AF34,150,8,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H15,116.366,19,no,3799.3499,25.328999
AF34,150,9,overlay,AMBFIX_INV_S84_RD3.4_4.0_H19,232.335,12,no,3094.7022,20.631348
AF34,150,10,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H11,212.057,13,no,3704.63579,24.697572
AF34,150,11,overlay,AMBFIX_DIR_S84_RD3.4_4.0_H22,274.789,10,no,2668.20119,17.788008
AF34,150,12,overlay,AMBFIX_DIR_S84_RD5.0_7.0_H20,54.139,29,no,2261.38603,15.075907
