target_af,window_days,component_no,component_name,family,entry_tf,mode,rd_min,rd_max,fill_hour,weight,orders,pnl_per_001lot,pnl_weighted_full,lot_max,max_dd_pct,skipped_by_cb,ambiguous,m1_sl,m1_tp,unresolved
AF170,730,89,AMBFIX_DIR_S84RUNc3057_RD2.7_3.4_H20,s84,M15,direct,2.7,3.4,20,293.212,58,-36.99,-10845.91188,0.02,5.42,30,174,103,65,6
AF170,730,90,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H13,s84,M30,inverse,5.0,7.0,13,207.518,48,31.81,6601.14758,0.01,2.62,10,57,27,28,2
AF170,730,91,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H14,s84,M30,direct,5.0,7.0,14,272.606,45,2.17,591.55502,0.01,3.59,18,48,25,20,3
AF170,730,92,AMBFIX_INV_S84RUNc6017_RD5.0_7.0_H16,s84,M30,inverse,5.0,7.0,16,201.327,33,44.18,8894.62686,0.01,2.21,10,47,24,20,3
AF170,730,93,AMBFIX_DIR_S86RUNc7171_RDall_H22,s86,M30,direct,,,22,52.192,21,208.25,10868.984,0.01,5.16,10,3,1,1,1
AF170,730,94,AMBFIX_DIR_S86RUNc7187_RDall_H14,s86,M30,direct,,,14,112.775,20,171.99,19396.17225,0.01,3.01,0,1,0,0,1
AF170,730,95,AMBFIX_DIR_S86RUNc4227_RDall_H22,s86,M30,direct,,,22,29.487,29,-64.97,-1915.77039,0.02,8.05,18,3,1,2,0
AF170,730,96,AMBFIX_DIR_S86RUNc6275_RDall_H22,s86,M30,direct,,,22,38.568,26,-75.0,-2892.6,0.01,7.5,18,3,1,2,0
AF170,730,97,AMBFIX_DIR_S86RUNc11_RD5.0_7.0_H9,s86,M15,direct,5.0,7.0,9,1200.0,13,46.78,56136.0,0.01,1.55,0,7,2,2,3
AF170,730,98,AMBFIX_INV_S84RUNc28_RD2.0_2.7_H11,s84,M15,inverse,2.0,2.7,11,258.887,40,44.35,11481.63845,0.03,1.41,9,1522,745,719,58
AF170,730,99,AMBFIX_INV_S84RUNc889_RD4.0_5.0_H11,s84,M15,inverse,4.0,5.0,11,233.869,43,45.11,10549.83059,0.01,1.86,10,225,132,87,6
AF170,730,100,AMBFIX_INV_S84RUNc3057_RD4.0_5.0_H10,s84,M15,inverse,4.0,5.0,10,257.155,42,21.42,5508.2601,0.01,1.84,4,174,103,65,6
AF170,730,101,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H16,s84,M30,inverse,5.0,7.0,16,424.157,41,45.04,19104.03128,0.01,2.23,10,57,27,28,2
AF170,730,102,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H18,s84,M30,direct,5.0,7.0,18,30.04,49,31.62,949.8648,0.01,3.95,20,48,25,20,3
AF170,730,103,AMBFIX_DIR_S84RUNc6017_RD5.0_7.0_H17,s84,M30,direct,5.0,7.0,17,35.447,31,-17.8,-630.9566,0.01,3.23,16,47,24,20,3
AF170,730,104,AMBFIX_INV_S86RUNc7171_RDall_H17,s86,M30,inverse,,,17,72.654,20,-12.18,-884.92572,0.02,5.35,10,3,1,1,1
AF170,730,105,AMBFIX_DIR_S86RUNc7187_RDall_H20,s86,M30,direct,,,20,22.819,45,-126.12,-2877.93228,0.01,13.48,28,1,0,0,1
AF170,730,106,AMBFIX_DIR_S86RUNc4227_RDall_H22,s86,M30,direct,,,22,248.667,29,-64.97,-16155.89499,0.02,8.05,18,3,1,2,0
AF170,730,107,AMBFIX_DIR_S86RUNc6275_RDall_H12,s86,M30,direct,,,12,87.034,35,-74.18,-6456.18212,0.02,9.76,10,3,1,2,0
AF170,730,108,AMBFIX_INV_S86RUNc11_RD5.0_7.0_H17,s86,M15,inverse,5.0,7.0,17,31.908,8,20.96,668.79168,0.01,0.79,0,7,2,2,3
AF170,730,109,AMBFIX_INV_S84RUNc28_RD4.0_5.0_H22,s84,M15,inverse,4.0,5.0,22,441.372,19,33.5,14785.962,0.01,0.84,0,1522,745,719,58
AF170,730,110,AMBFIX_INV_S84RUNc889_RD5.0_7.0_H20,s84,M15,inverse,5.0,7.0,20,228.989,89,33.02,7561.21678,0.01,4.88,20,225,132,87,6
AF170,730,111,AMBFIX_INV_S84RUNc3057_RD3.4_4.0_H11,s84,M15,inverse,3.4,4.0,11,362.175,26,-8.42,-3049.5135,0.01,2.61,10,174,103,65,6
AF170,730,112,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H13,s84,M30,inverse,5.0,7.0,13,113.364,48,31.81,3606.10884,0.01,2.62,10,57,27,28,2
AF170,730,113,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H8,s84,M30,direct,5.0,7.0,8,61.694,58,-1.9,-117.2186,0.01,4.01,28,48,25,20,3
AF170,730,114,AMBFIX_INV_S84RUNc6017_RD5.0_7.0_H16,s84,M30,inverse,5.0,7.0,16,183.219,33,44.18,8094.61542,0.01,2.21,10,47,24,20,3
AF170,730,115,AMBFIX_DIR_S86RUNc7171_RDall_H10,s86,M30,direct,,,10,19.344,21,256.96,4970.63424,0.01,4.66,0,3,1,1,1
AF170,730,116,AMBFIX_INV_S86RUNc6275_RDall_H19,s86,M30,inverse,,,19,17.531,45,182.12,3192.74572,0.02,6.72,10,3,1,2,0
AF170,730,117,AMBFIX_INV_S86RUNc11_RDall_H15,s86,M15,inverse,,,15,68.528,62,54.01,3701.19728,0.05,4.34,20,7,2,2,3
AF170,730,118,AMBFIX_DIR_S84RUNc28_RD4.0_5.0_H14,s84,M15,direct,4.0,5.0,14,335.855,20,-2.3,-772.4665,0.01,1.81,10,1522,745,719,58
AF170,730,119,AMBFIX_INV_S84RUNc889_RD2.7_3.4_H13,s84,M15,inverse,2.7,3.4,13,261.042,51,79.91,20859.86622,0.02,3.79,10,225,132,87,6
AF170,730,120,AMBFIX_DIR_S84RUNc3057_RD2.7_3.4_H12,s84,M15,direct,2.7,3.4,12,154.802,62,-46.6,-7213.7732,0.02,5.32,37,174,103,65,6
AF170,730,121,AMBFIX_DIR_S84RUNc4369_RD5.0_7.0_H17,s84,M30,direct,5.0,7.0,17,436.382,31,4.06,1771.71092,0.01,1.65,10,57,27,28,2
AF170,730,122,AMBFIX_DIR_S84RUNc5505_RD5.0_7.0_H18,s84,M30,direct,5.0,7.0,18,120.555,49,31.62,3811.9491,0.01,3.95,20,48,25,20,3
AF170,730,123,AMBFIX_DIR_S84RUNc6017_RD5.0_7.0_H17,s84,M30,direct,5.0,7.0,17,142.255,31,-17.8,-2532.139,0.01,3.23,16,47,24,20,3
AF170,730,124,AMBFIX_DIR_S86RUNc7171_RDall_H10,s86,M30,direct,,,10,21.976,21,256.96,5646.95296,0.01,4.66,0,3,1,1,1
AF170,730,125,AMBFIX_DIR_S86RUNc4227_RDall_H12,s86,M30,direct,,,12,13.207,33,4.9,64.7143,0.02,2.79,10,3,1,2,0
AF170,730,126,AMBFIX_INV_S86RUNc11_RD5.0_7.0_H17,s86,M15,inverse,5.0,7.0,17,283.671,8,20.96,5945.74416,0.01,0.79,0,7,2,2,3
AF170,730,127,AMBFIX_INV_S84RUNc28_RD4.0_5.0_H17,s84,M15,inverse,4.0,5.0,17,295.711,25,13.79,4077.85469,0.01,1.3,10,1522,745,719,58
AF170,730,128,AMBFIX_INV_S84RUNc889_RD2.7_3.4_H8,s84,M15,inverse,2.7,3.4,8,245.175,63,24.84,6090.147,0.02,4.31,12,225,132,87,6
AF170,730,129,AMBFIX_INV_S84RUNc3057_RD3.4_4.0_H17,s84,M15,inverse,3.4,4.0,17,523.02,36,-23.1,-12081.762,0.01,2.57,20,174,103,65,6
AF170,730,130,AMBFIX_INV_S84RUNc4369_RD5.0_7.0_H11,s84,M30,inverse,5.0,7.0,11,1200.0,30,22.91,27492.0,0.01,2.28,6,57,27,28,2
