idx,time,signal,outcome,rsi,rsi_7,adx,di_diff,vol_ratio,z_score,body_pct,atr_pct,dist_ema50,dist_ema200,upper_wick_pct,lower_wick_pct,hour
4887,2026-05-26 02:00,SELL,WIN,38.89,21.27,30.08,-22.12,2.01,-2.93,0.56,0.28,-10.98,-28.83,0.02,0.41,2
5061,2026-06-04 15:00,SELL,WIN,55.09,52.16,40.49,6.91,1.77,-0.07,0.7,0.48,-8.07,-31.79,0.1,0.2,15
5083,2026-06-05 14:00,SELL,WIN,21.01,14.25,49.92,-34.19,2.18,-3.23,0.73,0.49,-95.08,-123.43,0.27,0.0,14
5122,2026-06-09 07:00,SELL,WIN,42.71,63.33,14.78,-0.12,0.92,-0.03,0.69,0.3,-24.57,-105.91,0.29,0.02,7
5129,2026-06-09 14:00,SELL,WIN,57.01,47.36,18.26,19.86,1.75,-0.48,0.32,0.36,-20.99,-100.6,0.58,0.1,14
5130,2026-06-09 15:00,SELL,WIN,40.89,26.69,16.26,-1.24,2.26,-3.05,0.49,0.44,-47.32,-127.58,0.12,0.38,15
5131,2026-06-09 16:00,SELL,WIN,22.64,17.77,15.53,-11.93,2.13,-3.39,0.71,0.48,-72.28,-153.94,0.04,0.25,16
5132,2026-06-09 17:00,SELL,WIN,19.31,9.3,17.23,-19.78,2.14,-3.07,0.46,0.53,-89.26,-172.83,0.19,0.35,17
5179,2026-06-11 18:00,BUY,WIN,72.07,76.33,14.74,18.38,1.36,3.07,0.73,0.69,3.84,-162.84,0.19,0.08,18
5224,2026-06-15 17:00,SELL,WIN,54.75,52.95,60.79,4.68,1.13,0.55,0.71,0.39,76.44,43.16,0.1,0.19,17
5244,2026-06-16 14:00,SELL,WIN,56.59,55.31,30.6,9.02,1.82,0.29,0.99,0.32,31.88,29.8,0.01,0.0,14
5245,2026-06-16 15:00,SELL,BE,51.96,42.07,28.53,1.92,1.77,-0.27,0.3,0.34,23.28,21.93,0.27,0.42,15
5272,2026-06-17 19:00,SELL,WIN,38.97,38.21,19.96,-12.74,2.73,-2.65,0.85,0.53,-37.85,-23.91,0.0,0.15,19
5273,2026-06-17 20:00,SELL,WIN,30.65,25.18,21.99,-24.08,2.34,-3.27,0.66,0.64,-84.72,-73.5,0.12,0.22,20
5322,2026-06-22 03:00,SELL,WIN,55.58,69.87,26.72,12.52,1.19,1.6,0.15,0.49,-19.47,-81.34,0.56,0.3,3
5323,2026-06-22 04:00,SELL,WIN,52.37,57.54,24.46,7.76,0.91,0.64,0.87,0.5,-34.85,-97.17,0.08,0.05,4
5416,2026-06-26 05:00,BUY,BE,53.37,39.05,39.16,-4.66,0.87,-0.06,0.42,0.51,-20.01,-133.01,0.23,0.35,5
5491,2026-07-01 11:00,BUY,WIN,40.3,73.25,50.67,-21.91,0.79,-0.04,0.8,0.37,-10.5,-81.21,0.02,0.18,11
5549,2026-07-06 04:00,SELL,WIN,42.33,50.21,28.55,0.9,1.19,-1.59,0.59,0.39,31.72,65.38,0.14,0.27,4
5569,2026-07-07 01:00,SELL,WIN,51.85,33.79,23.15,-8.12,1.23,-0.83,0.64,0.3,1.25,36.45,0.32,0.04,1
5570,2026-07-07 02:00,SELL,WIN,40.4,12.04,25.58,-20.74,1.65,-1.16,0.19,0.32,-2.76,32.0,0.09,0.72,2
5583,2026-07-07 15:00,SELL,WIN,54.1,72.43,34.79,2.43,1.98,0.54,0.22,0.4,11.11,40.7,0.25,0.53,15
5584,2026-07-07 16:00,SELL,WIN,48.72,58.19,33.19,7.58,1.61,-0.33,0.77,0.4,-3.88,25.29,0.07,0.16,16
5745,2026-07-16 16:00,BUY,WIN,35.27,32.2,40.51,-15.89,1.43,-1.18,0.33,0.43,-29.51,-60.36,0.36,0.31,16
5766,2026-07-17 14:00,BUY,WIN,53.97,48.6,28.64,4.2,1.7,1.23,0.7,0.44,-11.5,-55.0,0.15,0.15,14
5768,2026-07-17 16:00,BUY,WIN,62.17,62.96,24.99,7.14,1.41,2.6,0.76,0.46,10.32,-32.22,0.09,0.14,16
5838,2026-07-22 17:00,SELL,OPEN,56.37,68.05,58.53,15.36,0.88,1.15,0.84,0.39,61.02,88.57,0.0,0.16,17
