Time (BKK),Close Time,Leg,TF,Type,Entry,Exit,Lot,P&L,Outcome
2026-09-15 16:58:45,2026-09-15 16:58:48,M1_S20.304,M1,BUY,4265.68,4265.02,0.01,-0.66,SL
2026-09-15 16:58:49,2026-09-15 16:58:50,M5_S20.304,M5,BUY,4263.64,4262.61,0.01,-1.03,SL
2026-09-15 17:18:16,2026-09-15 17:18:24,M1_S20.304,M1,BUY,4262.94,4262.52,0.01,-0.42,SL
2026-09-15 17:14:57,2026-09-15 17:18:44,M5_S20.304,M5,SELL,1.3475,1.3471,0.11,4.62,TP
2026-09-15 17:26:30,2026-09-15 17:27:31,M1_S20.304,M1,BUY,4263.25,4265.24,0.01,1.99,TP
2026-09-15 17:27:41,2026-09-15 17:27:45,M1_S20.304,M1,SELL,4266.08,4266.6,0.01,-0.52,SL
2026-09-15 17:24:25,2026-09-15 17:30:22,M5_S20.304,M5,BUY,1.3469,1.3473,0.11,4.62,TP
2026-09-15 17:48:15,2026-09-15 17:49:01,M5_S20.304,M5,SELL,63.004,63.04,0.01,-1.8,SL
2026-09-15 17:50:15,2026-09-15 17:54:28,M5_S20.304,M5,SELL,1.3479,1.3481,0.11,-2.31,SL
2026-09-15 17:50:15,2026-09-15 17:54:28,M5_S20.304,M5,SELL,1.3479,1.3481,0.11,-2.31,SL
2026-09-15 18:00:23,2026-09-15 18:00:23,M5_S20.304,M5,SELL,63.122,63.146,0.01,-1.2,SL
2026-09-15 18:02:22,2026-09-15 18:02:23,M1_S20.304,M1,SELL,4271.17,4271.61,0.01,-0.44,SL
