signal,outcome,signal_time_ts,fill_time_ts,exit_time_ts,entry,tp,sl,exit_price,risk_distance,diff_usd_per_001lot,spread,lot,risk_pct_used,risk_usd,pnl_usd,equity_after
SELL,TP,1780303200,1780303200,1780303500,4503.49,4495.7,4511.28,4495.7,7.79,7.79,0.2,0.01,0.5,4.61,7.59,929.37
SELL,TP,1780320900,1780320900,1780323000,4501.04,4490.64,4511.44,4490.64,10.4,10.4,0.2,0.01,0.5,4.65,10.2,939.57
BUY,TP,1780400700,1780400700,1780401600,4528.75,4534.66,4522.84,4534.66,5.91,5.91,0.2,0.01,0.5,4.7,5.71,945.28
BUY,SL,1780411200,1780411200,1780412400,4510.92,4519.68,4502.16,4502.16,8.76,-8.76,0.2,0.01,0.5,4.73,-8.96,936.32
SELL,TP,1780474800,1780474800,1780480200,4463.58,4450.76,4476.4,4450.76,12.82,12.82,0.2,0.01,0.5,4.68,12.62,948.94
SELL,TP,1780477200,1780477200,1780497600,4453.31,4438.22,4468.4,4438.22,15.09,15.09,0.2,0.01,0.5,4.74,14.89,963.83
SELL,TP,1780478400,1780478400,1780480200,4454.08,4446.84,4461.32,4446.84,7.24,7.24,0.2,0.01,0.5,4.82,7.04,970.87
SELL,TP,1780480200,1780480200,1780480200,4454.28,4445.72,4462.84,4445.72,8.56,8.56,0.2,0.01,0.5,4.85,8.36,979.23
SELL,SL,1780484100,1780484100,1780484700,4443.47,4434.37,4452.57,4452.57,9.1,-9.1,0.2,0.01,0.5,4.9,-9.3,969.93
SELL,SL,1780486800,1780486800,1780488300,4458.95,4450.83,4467.07,4467.07,8.12,-8.12,0.2,0.01,0.5,4.85,-8.32,961.61
SELL,TP,1780500000,1780500000,1780522500,4448.99,4433.22,4464.76,4433.22,15.77,15.77,0.2,0.01,0.5,4.81,15.57,977.18
SELL,SL,1780501500,1780501500,1780501800,4448.26,4437.32,4459.2,4459.2,10.94,-10.94,0.2,0.01,0.5,4.89,-11.14,966.04
SELL,SL,1780504500,1780504500,1780517700,4441.05,4430.88,4451.22,4451.22,10.17,-10.17,0.2,0.01,0.5,4.83,-10.37,955.67
BUY,TP,1780561200,1780561200,1780575600,4469.27,4480.14,4458.4,4480.14,10.87,10.87,0.2,0.01,0.5,4.78,10.67,966.34
BUY,SL,1780582800,1780582800,1780584900,4507.83,4518.66,4497.0,4497.0,10.83,-10.83,0.2,0.01,0.5,4.83,-11.03,955.31
BUY,TP,1780583700,1780583700,1780584300,4506.21,4515.35,4497.07,4515.35,9.14,9.14,0.2,0.01,0.5,4.78,8.94,964.25
BUY,TP,1780653000,1780653000,1780654200,4463.47,4469.09,4457.85,4469.09,5.62,5.62,0.2,0.01,0.5,4.82,5.42,969.67
BUY,SL,1780654500,1780654500,1780666200,4465.98,4476.3,4455.66,4455.66,10.32,-10.32,0.2,0.01,0.5,4.85,-10.52,959.15
SELL,TP,1780676700,1780676700,1780677300,4352.72,4339.5,4365.94,4339.5,13.22,13.22,0.2,0.01,0.5,4.8,13.02,972.17
SELL,TP,1780907400,1780907400,1780910100,4306.14,4289.03,4323.25,4289.03,17.11,17.11,0.2,0.01,0.5,4.86,16.91,989.08
SELL,TP,1780910700,1780910700,1780914600,4288.82,4278.18,4299.46,4278.18,10.64,10.64,0.2,0.01,0.5,4.95,10.44,999.52
SELL,TP,1780911600,1780911600,1780914600,4287.61,4278.06,4297.16,4278.06,9.55,9.55,0.2,0.01,0.5,5.0,9.35,1008.87
SELL,TP,1780912500,1780912500,1780914600,4288.48,4278.14,4298.82,4278.14,10.34,10.34,0.2,0.01,0.5,5.04,10.14,1019.01
SELL,TP,1780913400,1780913400,1780914600,4285.31,4273.64,4296.98,4273.64,11.67,11.67,0.2,0.01,0.5,5.1,11.47,1030.48
BUY,TP,1780932000,1780932000,1780934400,4321.75,4332.82,4310.68,4332.82,11.07,11.07,0.2,0.01,0.5,5.15,10.87,1041.35
BUY,TP,1780933500,1780933500,1780934400,4322.64,4336.26,4309.02,4336.26,13.62,13.62,0.2,0.01,0.5,5.21,13.42,1054.77
BUY,TP,1780934100,1780934100,1780937400,4326.42,4342.11,4310.73,4342.11,15.69,15.69,0.2,0.01,0.5,5.27,15.49,1070.26
SELL,SL,1780997700,1780997700,1781006100,4331.17,4322.48,4339.86,4339.86,8.69,-8.69,0.2,0.01,0.5,5.35,-8.89,1061.37
SELL,SL,1781001000,1781001000,1781006100,4326.84,4313.69,4339.99,4339.99,13.15,-13.15,0.2,0.01,0.5,5.31,-13.35,1048.02
BUY,TP,1781009100,1781009100,1781009400,4338.88,4343.79,4333.97,4343.79,4.91,4.91,0.2,0.01,0.5,5.24,4.71,1052.73
BUY,SL,1781013600,1781013600,1781014800,4341.38,4349.43,4333.33,4333.33,8.05,-8.05,0.2,0.01,0.5,5.26,-8.25,1044.48
