timestamp,label,score,days,trading_days,day,month,daily_pf,sharpe,pos_day_pct,max_streak,worst_day,best_day,max_leg_dd_pct,max_lot,skipped_by_cb,trade_units,by_leg
2026-07-03 09:47:02,P16_PLUS_ALLIN_1X,"(1, 1, 1, 306.0529, 4.9431, -584.21)",150,180,294.02,8820.63,5.113,0.489,63.9,4,-467.61,2991.73,49.25,0.12,8267,7320.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:148.40;S64:-55.44;S69:89.61
2026-07-03 09:47:02,P16_PLUS_ALLIN_1X,"(1, 1, 1, 306.0529, 4.9431, -584.21)",180,215,305.65,9169.52,4.943,0.473,63.3,4,-584.21,2991.73,34.59,0.19,9727,8660.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:194.74;S64:34.43;S69:131.89
2026-07-03 09:47:02,S74_FIXED,"(0, 0, 0, 150.79, 4.2023, -858.41)",90,104,151.14,4534.28,4.503,0.449,64.4,8,-505.47,1573.52,40.81,0.07,1133,2020.0,B:183.20;C:100.49;E:947.06;G:281.39;H:212.88;I:739.34;M:2377.48;N:692.90;P:314.04;R:4530.82;S63:683.72;S64:72.96;S69:2466.56
2026-07-03 09:47:02,S74_FIXED,"(0, 0, 0, 150.79, 4.2023, -858.41)",120,135,169.11,5073.43,4.773,0.389,64.4,10,-478.18,3094.53,55.01,0.08,1553,2502.0,B:97.29;C:92.10;E:1508.81;G:279.66;H:245.09;I:1235.77;M:3727.53;N:2746.43;P:103.57;R:5892.88;S63:622.84;S64:874.24;S69:2867.52
2026-07-03 09:47:02,S74_FIXED,"(0, 0, 0, 150.79, 4.2023, -858.41)",150,169,143.58,4307.38,4.487,0.41,60.4,6,-509.51,1672.59,28.33,0.11,2083,2902.0,B:124.85;C:124.02;E:1464.27;G:360.85;H:58.67;I:1137.89;M:3967.04;N:2834.46;P:140.01;R:8307.25;S63:593.60;S64:-443.52;S69:2867.52
2026-07-03 09:47:02,S74_FIXED,"(0, 0, 0, 150.79, 4.2023, -858.41)",180,203,139.32,4179.7,4.202,0.395,58.6,6,-858.41,1672.59,34.59,0.1,2423,3524.0,B:152.23;C:153.56;E:1823.52;G:336.37;H:280.54;I:1301.36;M:4372.46;N:3687.01;P:169.81;R:7526.49;S63:778.96;S64:275.44;S69:4220.48
2026-07-03 09:47:02,P16_PLUS_S74_ALLIN,"(1, 1, 1, 334.196, 4.8531, -1027.06)",90,111,334.11,10023.4,5.407,0.596,72.1,3,-641.27,1992.26,47.2,0.09,4627,5112.0,A:727.79;B:183.20;C:100.49;D:6154.91;E:947.06;F:3769.80;G:281.39;H:212.88;I:739.34;K:5249.59;L:382.39;M:2377.48;N:692.90;P:314.04;Q:182.88;R:4530.82;S63:683.72;S64:72.96;S69:2466.56
2026-07-03 09:47:02,P16_PLUS_S74_ALLIN,"(1, 1, 1, 334.196, 4.8531, -1027.06)",120,142,356.8,10703.99,5.4,0.509,69.0,3,-678.64,4288.33,55.01,0.11,6477,6675.0,A:767.05;B:97.29;C:92.10;D:7579.72;E:1508.81;F:5419.94;G:279.66;H:245.09;I:1235.77;K:7939.22;L:413.75;M:3727.53;N:2746.43;P:103.57;Q:402.57;R:5892.88;S63:622.84;S64:874.24;S69:2867.52
2026-07-03 09:47:02,P16_PLUS_S74_ALLIN,"(1, 1, 1, 334.196, 4.8531, -1027.06)",150,180,312.92,9387.64,5.054,0.508,66.1,3,-678.07,2866.39,49.25,0.12,8267,8027.0,A:780.28;B:124.85;C:124.02;D:7728.02;E:1464.27;F:7216.66;G:360.85;H:58.67;I:1137.89;K:8681.18;L:425.38;M:3967.04;N:2834.46;P:140.01;Q:569.77;R:8307.25;S63:593.60;S64:-443.52;S69:2867.52
2026-07-03 09:47:02,P16_PLUS_S74_ALLIN,"(1, 1, 1, 334.196, 4.8531, -1027.06)",180,215,332.95,9988.49,4.853,0.496,65.1,3,-1027.06,2866.39,34.59,0.19,9727,9627.0,A:670.87;B:152.23;C:153.56;D:8229.83;E:1823.52;F:11568.15;G:336.37;H:280.54;I:1301.36;K:12014.20;L:1353.65;M:4372.46;N:3687.01;P:169.81;Q:1015.99;R:7526.49;S63:778.96;S64:275.44;S69:4220.48
