timestamp,label,setup_type,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,trades_per_active_day,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,ema_fast,ema_trend,pullback_touch_atr,momentum_body_atr,pullback_max_atr,range_lookback,range_edge_pct,sl_atr_mult,tp_rr
2026-06-26 20:34:53,grid031_ema_ef8_et50_touch0.2_sl0.3,ema_pullback,3366,49.0,-1313.8,-43.79,-41.06,105.2,32,30,0,1326.37,130.99,0.01,0.13,1.0,-313.8,18,0.36,0.82,8,50,0.2,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:34:56,grid032_ema_ef8_et50_touch0.2_sl0.5,ema_pullback,3365,49.4,-1191.39,-39.71,-37.23,105.2,32,30,0,1248.78,118.1,0.01,0.1,1.0,-191.39,21,0.066,0.86,8,50,0.2,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:34:59,grid033_ema_ef8_et50_touch0.2_sl0.8,ema_pullback,3362,49.7,-1113.92,-37.13,-34.81,105.1,32,30,0,1336.94,109.31,0.01,0.08,1.0,-113.92,21,0.312,0.89,8,50,0.2,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:01,grid034_ema_ef8_et50_touch0.35_sl0.3,ema_pullback,3715,48.7,-1450.34,-48.34,-45.32,116.1,32,30,0,1474.81,143.96,0.01,0.14,1.0,-450.34,14,-0.089,0.82,8,50,0.35,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:35:04,grid035_ema_ef8_et50_touch0.35_sl0.5,ema_pullback,3714,49.0,-1317.47,-43.92,-41.17,116.1,32,30,0,1385.76,129.72,0.01,0.1,1.0,-317.47,16,-0.119,0.86,8,50,0.35,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:35:06,grid036_ema_ef8_et50_touch0.35_sl0.8,ema_pullback,3711,49.4,-1209.69,-40.32,-37.8,116.0,32,30,0,1374.91,118.0,0.01,0.07,1.0,-209.69,18,0.439,0.88,8,50,0.35,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:08,grid037_ema_ef13_et21_touch0.1_sl0.3,ema_pullback,2320,49.7,-936.33,-31.21,-29.26,72.5,32,30,0,991.45,98.59,0.01,0.1,1.0,63.67,11,-0.046,0.84,13,21,0.1,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:35:10,grid038_ema_ef13_et21_touch0.1_sl0.5,ema_pullback,2317,49.8,-866.82,-28.89,-27.09,72.4,32,30,0,958.55,91.78,0.01,0.09,1.0,133.18,18,-0.072,0.87,13,21,0.1,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:35:12,grid039_ema_ef13_et21_touch0.1_sl0.8,ema_pullback,2316,51.1,-589.95,-19.66,-18.44,72.4,32,30,0,1042.2,81.83,0.01,0.08,1.0,410.05,17,-0.032,0.92,13,21,0.1,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:14,grid040_ema_ef13_et21_touch0.2_sl0.3,ema_pullback,2607,49.3,-1046.24,-34.87,-31.7,79.0,33,30,0,1051.92,104.6,0.01,0.1,1.0,-46.24,12,-0.381,0.83,13,21,0.2,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:35:16,grid041_ema_ef13_et21_touch0.2_sl0.5,ema_pullback,2604,49.4,-992.12,-33.07,-30.06,78.9,33,30,0,1022.96,99.73,0.01,0.09,1.0,7.88,19,0.061,0.86,13,21,0.2,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:35:18,grid042_ema_ef13_et21_touch0.2_sl0.8,ema_pullback,2603,50.9,-687.6,-22.92,-20.84,78.9,33,30,0,1095.97,84.9,0.01,0.07,1.0,312.4,19,-0.037,0.92,13,21,0.2,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:20,grid043_ema_ef13_et21_touch0.35_sl0.3,ema_pullback,3006,49.0,-1253.24,-41.77,-37.98,91.1,33,30,0,1267.08,124.98,0.01,0.1,1.0,-253.24,15,-0.077,0.83,13,21,0.35,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:35:22,grid044_ema_ef13_et21_touch0.35_sl0.5,ema_pullback,3004,49.3,-1158.18,-38.61,-35.1,91.0,33,30,0,1160.21,115.79,0.01,0.09,1.0,-158.18,20,-0.958,0.86,13,21,0.35,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:35:24,grid045_ema_ef13_et21_touch0.35_sl0.8,ema_pullback,3002,50.5,-846.42,-28.21,-25.65,91.0,33,30,0,1194.85,92.33,0.01,0.07,1.0,153.58,19,-0.049,0.91,13,21,0.35,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:27,grid046_ema_ef13_et50_touch0.1_sl0.3,ema_pullback,2268,50.1,-919.42,-30.65,-28.73,70.9,32,30,0,1011.13,93.26,0.01,0.11,1.0,80.58,14,-0.094,0.85,13,50,0.1,0.8,0.35,20,0.15,0.3,1.0
2026-06-26 20:35:30,grid047_ema_ef13_et50_touch0.1_sl0.5,ema_pullback,2267,49.8,-915.39,-30.51,-28.61,70.8,32,30,0,1040.72,93.6,0.01,0.1,1.0,84.61,15,-0.091,0.86,13,50,0.1,0.8,0.35,20,0.15,0.5,1.0
2026-06-26 20:35:32,grid048_ema_ef13_et50_touch0.1_sl0.8,ema_pullback,2266,50.4,-741.94,-24.73,-23.19,70.8,32,30,0,937.13,80.44,0.01,0.08,1.0,258.06,19,-0.052,0.9,13,50,0.1,0.8,0.35,20,0.15,0.8,1.0
2026-06-26 20:35:35,grid049_ema_ef13_et50_touch0.2_sl0.3,ema_pullback,2518,49.9,-990.8,-33.03,-30.96,78.7,32,30,0,1008.92,99.1,0.01,0.11,1.0,9.2,15,-0.144,0.85,13,50,0.2,0.8,0.35,20,0.15,0.3,1.0
