timestamp,label,trades,wr,total_pnl,avg_per_day_span,avg_per_day_active,n_days_with_trades,span_days,days_hit_1000,max_dd_usd,max_dd_pct,lot_min,lot_max,risk_pct,final_equity,max_consec_loss,avg_r_multiple,profit_factor,swing_lookback,sweep_min_pierce_atr,rejection_wick_pct,rsi_overbought,rsi_oversold,sl_atr_mult,tp_rr,trend_filter
2026-06-26 20:06:26,grid161_lb30_p0.05_w0.55_ob62.0_sl0.6_rr1.0_against,143,52.4,35.76,0.6,0.66,54,60,0,192.11,16.37,0.01,0.03,1.0,1035.76,6,0.033,1.04,30,0.05,0.55,62.0,38.0,0.6,1.0,against
2026-06-26 20:06:27,grid162_lb30_p0.05_w0.55_ob62.0_sl0.6_rr1.5_none,148,41.9,28.44,0.47,0.52,55,60,0,268.34,21.27,0.01,0.03,1.0,1028.44,6,0.031,1.02,30,0.05,0.55,62.0,38.0,0.6,1.5,none
2026-06-26 20:06:29,grid163_lb30_p0.05_w0.55_ob62.0_sl0.6_rr1.5_against,143,42.0,29.18,0.49,0.53,55,60,0,289.92,22.33,0.01,0.04,1.0,1029.18,6,0.032,1.03,30,0.05,0.55,62.0,38.0,0.6,1.5,against
2026-06-26 20:06:31,grid164_lb30_p0.05_w0.55_ob62.0_sl0.6_rr2.0_none,148,36.5,96.82,1.61,1.79,54,60,0,338.88,24.74,0.01,0.04,1.0,1096.82,11,0.078,1.07,30,0.05,0.55,62.0,38.0,0.6,2.0,none
2026-06-26 20:06:33,grid165_lb30_p0.05_w0.55_ob62.0_sl0.6_rr2.0_against,143,36.4,105.31,1.76,1.95,54,60,0,359.28,25.68,0.01,0.04,1.0,1105.31,12,0.086,1.08,30,0.05,0.55,62.0,38.0,0.6,2.0,against
2026-06-26 20:06:35,grid166_lb30_p0.05_w0.55_ob62.0_sl0.6_rr2.5_none,148,29.1,-93.18,-1.55,-1.76,53,60,0,511.12,40.35,0.01,0.03,1.0,906.82,14,-0.043,0.93,30,0.05,0.55,62.0,38.0,0.6,2.5,none
2026-06-26 20:06:37,grid167_lb30_p0.05_w0.55_ob62.0_sl0.6_rr2.5_against,143,29.4,-66.79,-1.11,-1.26,53,60,0,503.27,38.61,0.01,0.03,1.0,933.21,15,-0.026,0.95,30,0.05,0.55,62.0,38.0,0.6,2.5,against
2026-06-26 20:06:38,grid168_lb30_p0.1_w0.35_ob62.0_sl0.6_rr1.0_none,243,51.0,-105.34,-1.76,-1.67,63,60,0,250.3,22.44,0.01,0.04,1.0,894.66,11,-0.036,0.93,30,0.1,0.35,62.0,38.0,0.6,1.0,none
2026-06-26 20:06:40,grid169_lb30_p0.1_w0.35_ob62.0_sl0.6_rr1.0_against,234,51.3,-83.32,-1.39,-1.32,63,60,0,235.4,20.97,0.01,0.04,1.0,916.68,11,-0.028,0.94,30,0.1,0.35,62.0,38.0,0.6,1.0,against
2026-06-26 20:06:42,grid170_lb30_p0.1_w0.35_ob62.0_sl0.6_rr1.5_none,243,39.9,-231.06,-3.85,-3.61,64,60,0,438.65,37.46,0.01,0.04,1.0,768.94,12,-0.094,0.88,30,0.1,0.35,62.0,38.0,0.6,1.5,none
2026-06-26 20:06:44,grid171_lb30_p0.1_w0.35_ob62.0_sl0.6_rr1.5_against,234,40.6,-157.22,-2.62,-2.46,64,60,0,428.14,34.52,0.01,0.04,1.0,842.78,12,-0.06,0.91,30,0.1,0.35,62.0,38.0,0.6,1.5,against
2026-06-26 20:06:46,grid172_lb30_p0.1_w0.35_ob62.0_sl0.6_rr2.0_none,243,34.6,-154.96,-2.58,-2.46,63,60,0,534.98,40.53,0.01,0.04,1.0,845.04,13,-0.052,0.93,30,0.1,0.35,62.0,38.0,0.6,2.0,none
2026-06-26 20:06:48,grid173_lb30_p0.1_w0.35_ob62.0_sl0.6_rr2.0_against,234,35.0,-107.91,-1.8,-1.71,63,60,0,517.64,38.22,0.01,0.04,1.0,892.09,12,-0.032,0.95,30,0.1,0.35,62.0,38.0,0.6,2.0,against
2026-06-26 20:06:51,grid174_lb30_p0.1_w0.35_ob62.0_sl0.6_rr2.5_none,243,26.7,-431.47,-7.19,-6.64,65,60,0,794.23,66.46,0.01,0.03,1.0,568.53,18,-0.198,0.8,30,0.1,0.35,62.0,38.0,0.6,2.5,none
2026-06-26 20:06:53,grid175_lb30_p0.1_w0.35_ob62.0_sl0.6_rr2.5_against,234,27.4,-354.81,-5.91,-5.46,65,60,0,759.54,61.19,0.01,0.03,1.0,645.19,17,-0.158,0.83,30,0.1,0.35,62.0,38.0,0.6,2.5,against
2026-06-26 20:06:55,grid176_lb30_p0.1_w0.45_ob62.0_sl0.6_rr1.0_none,196,52.0,1.65,0.03,0.03,59,60,0,196.45,16.78,0.01,0.03,1.0,1001.65,9,0.01,1.0,30,0.1,0.45,62.0,38.0,0.6,1.0,none
2026-06-26 20:06:57,grid177_lb30_p0.1_w0.45_ob62.0_sl0.6_rr1.0_against,188,52.1,1.18,0.02,0.02,59,60,0,189.87,16.31,0.01,0.03,1.0,1001.18,9,0.009,1.0,30,0.1,0.45,62.0,38.0,0.6,1.0,against
2026-06-26 20:06:59,grid178_lb30_p0.1_w0.45_ob62.0_sl0.6_rr1.5_none,196,40.8,-115.68,-1.93,-1.93,60,60,0,372.98,30.71,0.01,0.03,1.0,884.32,10,-0.05,0.93,30,0.1,0.45,62.0,38.0,0.6,1.5,none
2026-06-26 20:07:01,grid179_lb30_p0.1_w0.45_ob62.0_sl0.6_rr1.5_against,188,41.5,-24.78,-0.41,-0.41,60,60,0,350.72,27.93,0.01,0.03,1.0,975.22,10,-0.001,0.98,30,0.1,0.45,62.0,38.0,0.6,1.5,against
