timestamp,rank,label,base,w_s63,w_s69,w_s64,score,min_pf,avg_day,avg_month,avg_sharpe,max_streak,days,trades,trade_units,fixed_per_day,fixed_per_month,fixed_pf,sharpe_like,max_losing_day_streak,by_leg
2026-07-03 09:21:40,9,P13+S63x8+S69x24,P13,8.0,24.0,0.0,"(1, 1, 1.113, 0.144, 2958.06, -4)",1.113,98.6,2958.06,0.144,4,120,10238,10832.0,107.48,3224.31,1.149,0.143,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S69:2150.64
2026-07-03 09:21:40,9,P13+S63x8+S69x24,P13,8.0,24.0,0.0,"(1, 1, 1.113, 0.144, 2958.06, -4)",1.113,98.6,2958.06,0.144,4,150,12883,13575.0,76.44,2293.28,1.113,0.11,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S69:2150.64
2026-07-03 09:21:40,9,P13+S63x8+S69x24,P13,8.0,24.0,0.0,"(1, 1, 1.113, 0.144, 2958.06, -4)",1.113,98.6,2958.06,0.144,4,180,15176,16065.0,88.82,2664.7,1.138,0.132,4,P13-B:200.04;P13-C:187.18;P13-D:-767.06;P13-F:-873.01;P13-G:119.02;P13-H:504.21;P13-I:1056.83;P13-K:183.65;P13-M:3739.34;P13-N:4348.33;P13-P:28.98;P13-Q:91.04;P13-R:1271.35;S63:2732.96;S69:3165.36
2026-07-03 09:21:40,10,P13+S63x8+S69x12+S64x4,P13,8.0,12.0,4.0,"(1, 1, 1.111, 0.1377, 2963.87, -4)",1.111,98.795,2963.87,0.138,4,90,7550,8066.0,121.54,3646.21,1.182,0.189,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S64:913.76;S69:924.96
2026-07-03 09:21:40,10,P13+S63x8+S69x12+S64x4,P13,8.0,12.0,4.0,"(1, 1, 1.111, 0.1377, 2963.87, -4)",1.111,98.795,2963.87,0.138,4,120,10288,10912.0,109.47,3284.08,1.149,0.136,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S64:1314.40;S69:1075.32
2026-07-03 09:21:40,10,P13+S63x8+S69x12+S64x4,P13,8.0,12.0,4.0,"(1, 1, 1.111, 0.1377, 2963.87, -4)",1.111,98.795,2963.87,0.138,4,150,12940,13683.0,76.29,2288.84,1.111,0.102,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S64:1053.12;S69:1075.32
2026-07-03 09:21:40,10,P13+S63x8+S69x12+S64x4,P13,8.0,12.0,4.0,"(1, 1, 1.111, 0.1377, 2963.87, -4)",1.111,98.795,2963.87,0.138,4,180,15246,16177.0,87.88,2636.36,1.134,0.124,4,P13-B:200.04;P13-C:187.18;P13-D:-767.06;P13-F:-873.01;P13-G:119.02;P13-H:504.21;P13-I:1056.83;P13-K:183.65;P13-M:3739.34;P13-N:4348.33;P13-P:28.98;P13-Q:91.04;P13-R:1271.35;S63:2732.96;S64:1412.60;S69:1582.68
2026-07-03 09:21:40,11,P13+S63x8+S69x16+S64x2,P13,8.0,16.0,2.0,"(1, 1, 1.11, 0.1385, 2916.97, -4)",1.11,97.233,2916.97,0.139,4,90,7550,8020.0,119.89,3596.69,1.182,0.187,4,P13-B:183.20;P13-C:124.33;P13-D:1233.48;P13-F:-262.27;P13-G:301.29;P13-H:297.71;P13-I:550.26;P13-K:-309.58;P13-M:1525.59;P13-N:1411.44;P13-P:121.42;P13-Q:-57.02;P13-R:1706.45;S63:2273.60;S64:456.88;S69:1233.28
2026-07-03 09:21:40,11,P13+S63x8+S69x16+S64x2,P13,8.0,16.0,2.0,"(1, 1, 1.11, 0.1385, 2916.97, -4)",1.11,97.233,2916.97,0.139,4,120,10288,10852.0,106.98,3209.39,1.147,0.137,4,P13-B:141.60;P13-C:118.72;P13-D:181.43;P13-F:-1350.58;P13-G:246.84;P13-H:340.47;P13-I:993.46;P13-K:-304.58;P13-M:3375.79;P13-N:2920.72;P13-P:42.65;P13-Q:-226.47;P13-R:2114.71;S63:2151.84;S64:657.20;S69:1433.76
2026-07-03 09:21:40,11,P13+S63x8+S69x16+S64x2,P13,8.0,16.0,2.0,"(1, 1, 1.11, 0.1385, 2916.97, -4)",1.11,97.233,2916.97,0.139,4,150,12940,13609.0,75.17,2255.21,1.11,0.104,4,P13-B:172.66;P13-C:146.12;P13-D:-307.84;P13-F:-1509.87;P13-G:235.91;P13-H:285.73;P13-I:894.29;P13-K:-472.07;P13-M:3201.03;P13-N:3049.26;P13-P:36.04;P13-Q:-335.40;P13-R:1464.76;S63:2455.12;S64:526.56;S69:1433.76
